"Interval Time","Interval Number","Resource Code","Interval Value"
"02/16/2018 00:14:59","1","ABEC2_3UNIT","0"
"02/16/2018 00:14:59","1","ABEC_2UNIT","0"
"02/16/2018 00:14:59","1","ACACIA_UNIT_1","0"
"02/16/2018 00:14:59","1","ADK_1UNIT","0"
"02/16/2018 00:14:59","1","AEEC_ANTLP_1","0"
"02/16/2018 00:14:59","1","AEEC_ANTLP_2","0"
"02/16/2018 00:14:59","1","AEEC_ANTLP_3","0"
"02/16/2018 00:14:59","1","AEEC_ELK_1","0"
"02/16/2018 00:14:59","1","AEEC_ELK_2","0"
"02/16/2018 00:14:59","1","AEEC_ELK_3","0"
"02/16/2018 00:14:59","1","AMISTAD_AMISTAG1","0"
"02/16/2018 00:14:59","1","AMISTAD_AMISTAG2","5.8629309999"
"02/16/2018 00:14:59","1","AMOCOOIL_CC1","0"
"02/16/2018 00:14:59","1","AMOCOOIL_CC2","81.9629999999"
"02/16/2018 00:14:59","1","ANACACHO_ANA","17.9537599999"
"02/16/2018 00:14:59","1","ANDNR_15UNITS","0"
"02/16/2018 00:14:59","1","ASTRA_UNIT1","34.9486599999"
"02/16/2018 00:14:59","1","ATKINS_ATKINSG7","0"
"02/16/2018 00:14:59","1","AUSTPL_AUSTING1","0"
"02/16/2018 00:14:59","1","AUSTPL_AUSTING2","0"
"02/16/2018 00:14:59","1","AV_DG1",".562369"
"02/16/2018 00:14:59","1","AZ_AZ_G1","0"
"02/16/2018 00:14:59","1","AZ_AZ_G2","0"
"02/16/2018 00:14:59","1","AZ_AZ_G3","0"
"02/16/2018 00:14:59","1","AZ_AZ_G4","0"
"02/16/2018 00:14:59","1","BAC_CTG1","0"
"02/16/2018 00:14:59","1","BAC_CTG2","0"
"02/16/2018 00:14:59","1","BAC_CTG3","0"
"02/16/2018 00:14:59","1","BAC_CTG4","0"
"02/16/2018 00:14:59","1","BAC_CTG5","0"
"02/16/2018 00:14:59","1","BAC_CTG6","0"
"02/16/2018 00:14:59","1","BAFFIN_UNIT1","20.593436"
"02/16/2018 00:14:59","1","BAFFIN_UNIT2","12.9427939999"
"02/16/2018 00:14:59","1","BAKKE_15UNITS","0"
"02/16/2018 00:14:59","1","BASTEN_CC1","45.5317599999"
"02/16/2018 00:14:59","1","BA_1UNIT","0"
"02/16/2018 00:14:59","1","BBREEZE_UNIT1","11.810535"
"02/16/2018 00:14:59","1","BBREEZE_UNIT2","13.290875"
"02/16/2018 00:14:59","1","BCATWIND_WIND_1","26.00637"
"02/16/2018 00:14:59","1","BFM_HYD_ST1","0"
"02/16/2018 00:14:59","1","BLSUMMIT_BATTERY","1.277558"
"02/16/2018 00:14:59","1","BLSUMMIT_BLSMT1_5","1.777023"
"02/16/2018 00:14:59","1","BLSUMMIT_BLSMT1_6","19.716493"
"02/16/2018 00:14:59","1","BL_BROWN_BLT","0"
"02/16/2018 00:14:59","1","BL_CHILD_BLT","0"
"02/16/2018 00:14:59","1","BL_CS1_BLT","0"
"02/16/2018 00:14:59","1","BL_CSSWC_BLT","0"
"02/16/2018 00:14:59","1","BL_EAGLE_BLT","0"
"02/16/2018 00:14:59","1","BL_GONZA_BLT","0"
