Date,hr,COAST,EAST,FWEST,NCENT,NORTH,SCENT,SOUTH,WEST
01/01/17,0,2156.548,2055.105,2032.764,2191.746,2092.022,2139.002,2036.619,2032.015
01/01/17,1,2143.74,2038.712,2023.822,2183.176,2079.858,2121.499,2023.299,2021.9
01/01/17,2,2135.529,2028.495,2018.894,2178.624,2068.934,2109.76,2012.61,2014.771
01/01/17,3,2122.625,2021.178,2012.651,2172.48,2059.21,2101.607,2001.548,2007.933
01/01/17,4,2129.245,2027.227,2016.346,2179.53,2063.331,2104.428,2000.507,2010.345
01/01/17,5,2145.928,2049.08,2026.387,2197.555,2076.31,2115.86,2013.948,2020.953
01/01/17,6,2178.833,2073.393,2045.961,2236.331,2106.85,2150.062,2036.349,2045.161
01/01/17,7,2182.13,2080.753,2048.598,2241.914,2119.605,2174.362,2046.84,2051.741
01/01/17,8,2178.06,2097.868,2049.427,2223.565,2116.701,2166.43,2047.189,2050.147
01/01/17,9,2198.331,2102.843,2055.766,2225.342,2116.89,2173.198,2059.512,2052.93
01/01/17,10,2226.842,2123.004,2067.01,2237.013,2127.093,2196.857,2083.004,2066.938
01/01/17,11,2244.186,2131.731,2076.665,2250.199,2134.104,2219.661,2103.914,2080.541
01/01/17,12,2261.44,2144.46,2084.686,2261.551,2142.076,2234.88,2122.428,2089.392
01/01/17,13,2272.887,2148.214,2089.528,2271.418,2149.925,2245.476,2133.952,2098.155
01/01/17,14,2279.923,2148.615,2097.941,2276.894,2155.502,2252.816,2144.564,2104.596
01/01/17,15,2289.008,2151.149,2105.695,2281.317,2161.996,2258.6,2155.159,2112.713
01/01/17,16,2305.634,2172.131,2124.113,2293.909,2184.099,2283.156,2172.233,2129.18
01/01/17,17,2326.566,2188.335,2129.561,2317.641,2204.915,2302.945,2175.699,2134.704
01/01/17,18,2337.571,2189.315,2135.253,2335.101,2216.487,2314.622,2189.621,2147.454
01/01/17,19,2314.265,2169.919,2123.518,2317.542,2197.707,2294.879,2166.703,2132.089
01/01/17,20,2294.14,2162.609,2115.056,2302.671,2190.622,2273.245,2149.475,2120.796
01/01/17,21,2282.358,2153.912,2111.967,2291.696,2186.904,2262.257,2139.173,2114.957
01/01/17,22,2260.156,2137.674,2104.933,2272.84,2171.068,2242.352,2124.858,2106.559
01/01/17,23,2235.128,2123.252,2102.954,2261.049,2163.358,2226.383,2115.562,2103.06
01/02/17,0,1940.204,1820.412,1798.083,1943.35,1860.382,1911.022,1814.338,1796.484
01/02/17,1,1945.372,1823.244,1809.552,1954.122,1866.97,1914.056,1821.004,1805.704
01/02/17,2,1946.283,1824.856,1813.87,1958.59,1866.557,1910.477,1821.26,1808.891
01/02/17,3,1945.78,1831.815,1820.537,1963.395,1869.878,1915.281,1822.875,1814.463
01/02/17,4,1970.267,1856.746,1841.64,1985.894,1890.428,1935.448,1838.339,1833.72
01/02/17,5,1993.006,1885.249,1857.46,2010.881,1910.825,1952.701,1859.402,1850.114
01/02/17,6,2049.18,1932.606,1899.519,2073.235,1964.845,2008.054,1906.658,1896.715
01/02/17,7,2077.663,1957.443,1922.67,2102.637,1997.181,2051.467,1936.116,1925.586
01/02/17,8,2072.944,1977.122,1928.343,2095.175,1998.498,2048.389,1939.41,1929.013
01/02/17,9,2102.764,1993.087,1945.668,2115.559,2010.659,2070.02,1965.701,1943.782
01/02/17,10,2137.234,2024.938,1969.274,2150.507,2032.919,2109.928,2000.918,1970.436
01/02/17,11,2158.614,2043.965,1986.066,2181.655,2050.349,2144.484,2031.657,1992.761
