Time,Coast,East,FarWest,North,NorthCentral,Northwest,South,SouthCentral,West,
05/01/17,0,0,0,0,0,0,0,0,0,0
05/01/17,1,0,0,0,0,0,0,0,0,0
05/01/17,2,0,0,0,0,0,0,0,0,0
05/01/17,3,0,0,0,0,0,0,0,0,0
05/01/17,4,0,0,0,0,0,0,0,0,0
05/01/17,5,0,0,0,0,0,0,0,0,0
05/01/17,6,0,0,0,0,0,0,0,0,0
05/01/17,7,0,0,0.754409853,0.122415885,0.002342888,0,0,0.146781917,0.155333457
05/01/17,8,0,0,56.44450528,9.159085095,0.175293495,0,0,10.98213744,11.62195869
05/01/17,9,0,0,117.3097793,19.03551544,0.364316085,0,0,22.82440272,24.15415643
05/01/17,10,0,0,119.6324652,19.41241089,0.371529395,0,0,23.2763166,24.63239889
05/01/17,11,0,0,121.9679685,19.79138619,0.378782511,0,0,23.73072431,25.11328047
05/01/17,12,0,0,122.4348806,19.86715066,0.380232549,0,0,23.82156917,25.20941797
05/01/17,13,0,0,122.1794431,19.82570155,0.379439264,0,0,23.7718699,25.15682322
05/01/17,14,0,0,121.7306305,19.75287405,0.378045436,0,0,23.68454659,25.06441243
05/01/17,15,0,0,120.8993653,19.61798708,0.375463868,0,0,23.5228113,24.89325442
05/01/17,16,0,0,118.3129556,19.19829792,0.367431539,0,0,23.01958592,24.36071104
05/01/17,17,0,0,111.8564258,18.15061567,0.347380204,0,0,21.7633698,23.03130754
05/01/17,18,0,0,102.6528496,16.65717824,0.31879767,0,0,19.972674,21.13628549
05/01/17,19,0,0,55.15858978,8.950423342,0.171299968,0,0,10.73194301,11.3571879
05/01/17,20,0,0,4.462623034,0.724136812,0.013859078,0,0,0.868271221,0.918856855
05/01/17,21,0,0,0,0,0,0,0,0,0
05/01/17,22,0,0,0,0,0,0,0,0,0
05/01/17,23,0,0,0,0,0,0,0,0,0
05/02/17,0,0,0,0,0,0,0,0,0,0
05/02/17,1,0,0,0,0,0,0,0,0,0
05/02/17,2,0,0,0,0,0,0,0,0,0
05/02/17,3,0,0,0,0,0,0,0,0,0
