Date,Time,Coast,East,FarWest,North,NorthCentral,Northwest,South,SouthCentral,West
05/01/17,0,0,0,139.7368231,134.4543209,70.15294914,135.905875,161.5719904,0,194.1041216
05/01/17,1,0,0,219.4991608,211.2013852,110.1965332,213.4814921,253.7979289,0,304.8995308
05/01/17,2,0,0,267.7185939,257.5979684,134.4044361,260.3789677,309.5520932,0,371.8796617
05/01/17,3,0,0,294.7230576,283.5815763,147.9616555,286.6430919,340.7762534,0,409.3907314
05/01/17,4,0,0,301.0702568,289.6888308,151.1481794,292.8162797,348.1152609,0,418.2074304
05/01/17,5,0,0,295.6512856,284.4747142,148.4276595,287.545872,341.8495255,0,410.6801042
05/01/17,6,0,0,268.7723108,258.6118513,134.9334401,261.4037965,310.770463,0,373.3433474
05/01/17,7,0,0,260.0846825,250.2526434,130.5719359,252.9543434,300.7253127,0,361.2756302
05/01/17,8,0,0,201.371099,193.7586225,101.0955892,195.8504193,232.8371902,0,279.7183978
05/01/17,9,0,0,137.1626434,131.9774534,68.86061763,133.4022675,158.5955713,0,190.5284077
05/01/17,10,0,0,144.4384959,138.9782553,72.51335925,140.4786492,167.0083429,0,200.6350705
05/01/17,11,0,0,135.2897349,130.1753469,67.9203497,131.5807057,156.4300036,0,187.9268082
05/01/17,12,0,0,111.5979366,107.3791749,56.02620837,108.5384287,129.0361433,0,155.0172601
05/01/17,13,0,0,110.3111938,106.1410752,55.38021688,107.2869626,127.5483352,0,153.2298853
05/01/17,14,0,0,134.4343002,129.3522505,67.49089051,130.7487232,155.4408994,0,186.7385502
05/01/17,15,0,0,147.6809421,142.0981266,74.14118478,143.6322024,170.7574513,0,205.1390529
05/01/17,16,0,0,146.6955078,141.1499449,73.64646104,142.6737842,169.6180337,0,203.7702164
05/01/17,17,0,0,146.7937923,141.2445139,73.6958034,142.7693741,169.731676,0,203.9067403
05/01/17,18,0,0,162.1530213,156.0231146,81.40669299,157.707523,187.4909263,0,225.2417728
05/01/17,19,0,0,177.049262,170.3562294,88.88514565,172.1953765,204.714842,0,245.9336825
05/01/17,20,0,0,212.4456875,204.4145559,106.655434,206.621393,245.6422854,0,295.1017681
05/01/17,21,0,0,325.8937324,313.5738991,163.6104638,316.9592085,376.8176335,0,452.6889566
05/01/17,22,0,0,410.5961919,395.0743327,206.134168,399.3395118,474.7556335,0,570.346537
05/01/17,23,0,0,457.8561575,440.5477193,229.8603834,445.3038241,529.4004045,0,635.9939012
05/02/17,0,0,0,455.6260684,438.4019347,228.7407978,443.1348738,526.8218434,0,632.8961529
05/02/17,1,0,0,453.4271311,436.2861243,227.6368516,440.9962214,524.2793018,0,629.8416768
05/02/17,2,0,0,437.0077726,420.4874705,219.3937386,425.027007,505.2942672,0,607.0340511
05/02/17,3,0,0,408.0281211,392.6033432,204.8449034,396.8418458,471.7862778,0,566.7793088
05/02/17,4,0,0,388.7054443,374.0111258,195.1442194,378.0489089,449.4442546,0,539.938773
05/02/17,5,0,0,400.8039061,385.6522268,201.2180856,389.8156859,463.4332126,0,556.744374
05/02/17,6,0,0,396.1150354,381.1406105,198.8641026,385.2553627,458.0116627,0,550.231208
05/02/17,7,0,0,387.4290084,372.7829433,194.5034023,376.807467,447.9683638,0,538.1657151
05/02/17,8,0,0,325.6579373,313.3470178,163.4920861,316.7298778,376.5449932,0,452.3614209
05/02/17,9,0,0,274.0869886,263.7256172,137.601601,266.57277,316.9156083,0,380.7258029
05/02/17,10,0,0,289.0244156,278.0983613,145.1007306,281.1006806,334.1871459,0,401.474923
05/02/17,11,0,0,334.3212646,321.6828434,167.8413903,325.1556961,386.5620453,0,464.3953823
05/02/17,12,0,0,357.515686,344.000441,179.4858305,347.714232,413.380809,0,496.6140395
05/02/17,13,0,0,364.8489596,351.0564931,183.1673995,354.8464605,421.8599742,0,506.8004641
05/02/17,14,0,0,401.292031,386.1218991,201.4631421,390.2904287,463.9976117,0,557.4224134
05/02/17,15,0,0,416.4090683,400.6674636,209.0524426,404.9930255,481.4768253,0,578.4210247
05/02/17,16,0,0,423.6540295,407.6385419,212.6896757,412.0393629,489.8538786,0,588.4847774
05/02/17,17,0,0,447.6083333,430.6872958,224.7156043,435.3369486,517.5512632,0,621.7589638
05/02/17,18,0,0,444.355352,427.5572877,223.0824898,432.1731493,513.7899736,0,617.2403476
05/02/17,19,0,0,435.5493028,419.0841356,218.661534,423.6085219,503.6078981,0,605.0081356
05/02/17,20,0,0,449.1325109,432.1538546,225.4807966,436.8193402,519.3136077,0,623.876152
